,name,platform,r_date,score,user score,developer,genre,players,critics,users,SMA_year
857,Madden NFL 2002,GameCube,2001-11-17,89,6.0,EASports,"Sports,Traditional,Football,Sim",1-4 ,12,5,7.165384615384616
859,Wave Race: Blue Storm,GameCube,2001-11-17,80,7.9,Nintendo,"Driving,Racing,Snow / Water",No info,21,34,8.299999999999999
861,F1 2001,Xbox,2001-11-18,83,5.0,EASports,"Driving,Racing,Formula One",1-4 ,11,7,7.0851851851851855
866,Wario Land 4,GameBoyAdvance,2001-11-18,88,8.7,Nintendo,"Action,Platformer,2D",No info,17,73,8.357142857142858
877,FIFA Soccer 2002,GameCube,2001-11-21,81,8.3,EASports,"Sports,Traditional,Soccer,Sim",1-4 ,13,8,7.128571428571428
906,Pikmin,GameCube,2001-12-02,89,8.7,Nintendo,"Strategy,Real-Time,Fantasy",1 Player,39,190,8.4
912,Mega Man X6,PlayStation,2001-12-04,65,7.8,Capcom,"Action,Platformer,2D",1 Player,14,126,8.396153846153847
918,NHL 2002,Xbox,2001-12-10,89,6.8,EASports,"Sports,Traditional,Ice Hockey,Sim",1-4 ,17,8,7.117241379310345
922,Breath of Fire,GameBoyAdvance,2001-12-13,79,7.3,Capcom,"Role-Playing,Console-style RPG",1-2 ,17,21,8.355555555555556
928,Batman: Vengeance,Xbox,2001-12-18,70,5.9,UbisoftMontreal,"Action Adventure,Sci-Fi",1 Player,14,7,7.316666666666666
945,ESPN Winter X-Games Snowboarding 2002,PlayStation2,2002-01-14,64,8.1,Konami,"Sports,Alternative,Snowboarding",1-2 ,14,9,8.171428571428573
