,genre,count,year
975,Japanese-Style,0,2000
976,Rugby,0,2000
977,Horse Racing,0,2000
978,Stacking,0,2000
979,Military,0,2000
980,Career,0,2000
981,Civilian Plane,0,2000
982,Submarine,0,2000
983,On-foot,0,2000
984,Open-World,0,2000
985,Truck,0,2000
986,Horizontal,0,2000
987,Skating,0,2000
988,Card Battle,0,2000
989,Board Games,0,2000
990,Old Jet,0,2000
991,Hunting,0,2000
992,Wakeboarding,0,2000
993,Vertical,0,2000
994,No info,0,2000
995,Bowling,0,2000
996,WWI,0,2000
997,Edutainment,0,2000
998,Gambling,0,2000
999,Party / Minigame,0,2000
1000,Pet,0,2000
1001,Static,0,2000
1002,Ski / Snowboard,0,2000
1003,Visual Novel,0,2000
1004,Application,0,2000
1005,Boxing / Martial Arts,0,2000
1006,Logic,0,2000
1007,Videos,0,2000
1008,Interactive Movie,0,2000
1009,Roguelike,0,2000
1010,Trainer,0,2000
1011,Hidden Object,0,2000
1012,Cricket,0,2000
1013,Sandbox,0,2000
1014,Defense,0,2000
1015,Drag,0,2000
1016,Skiing,0,2000
1017,Exercise / Fitness,0,2000
1018,MOBA,0,2000
1019,Text,0,2000
1020,Adventure,43,2001
1021,General,317,2001
1022,Action,283,2001
1023,Shooter,161,2001
1024,First-Person,76,2001
1025,Sci-Fi,158,2001
1026,Arcade,73,2001
1027,Strategy,135,2001
1028,Turn-Based,20,2001
1029,Historic,45,2001
1030,4X,6,2001
1031,Action Adventure,92,2001
1032,Horror,40,2001
1033,Fighting,40,2001
1034,3D,53,2001
1035,Platformer,45,2001
1036,Simulation,81,2001
1037,Point-and-Click,9,2001
1038,Driving,161,2001
1039,Racing,141,2001
1040,Futuristic,18,2001
1041,Real-Time,66,2001
1042,Command,20,2001
1043,Snow / Water,7,2001
1044,Modern,65,2001
1045,Miscellaneous,47,2001
1046,Puzzle,14,2001
1047,Matching,6,2001
1048,Role-Playing,90,2001
1049,Action RPG,28,2001
1050,Kart,17,2001
1051,Rail,6,2001
1052,Flight,25,2001
1053,Modern Jet,14,2001
1054,2D,28,2001
1055,Console-style RPG,32,2001
1056,Third-Person,43,2001
1057,Shoot-'Em-Up,1,2001
1058,Top-Down,1,2001
1059,Wargame,2,2001
1060,PC-style RPG,20,2001
1061,Western-Style,13,2001
1062,Small Spaceship,20,2001
1063,Rhythm,7,2001
1064,Music,4,2001
1065,Fantasy,93,2001
1066,GT / Street,20,2001
1067,Scrolling,9,2001
1068,Light Gun,9,2001
1069,Tactical,12,2001
1070,Tycoon,13,2001
1071,Management,14,2001
1072,Business / Tycoon,8,2001
1073,Combat,27,2001
1074,Party,7,2001
1075,Massively Multiplayer Online,9,2001
1076,Massively Multiplayer,10,2001
1077,Sports,160,2001
1078,Traditional,98,2001
1079,Golf,9,2001
1080,Mission-based,14,2001
1081,Football,28,2001
1082,Survival,12,2001
1083,Alternative,50,2001
1084,Skateboarding,14,2001
1085,Motorcycle,15,2001
1086,Motocross,12,2001
1087,Space,9,2001
1088,Breeding/Constructing,7,2001
1089,Beat-'Em-Up,13,2001
1090,Automobile,22,2001
1091,Virtual Life,8,2001
1092,Virtual,5,2001
1093,Parlor,6,2001
1094,Billiards,5,2001
1095,City Building,2,2001
1096,Government,6,2001
1097,Tactics,10,2001
1098,Tennis,5,2001
1099,Sim,85,2001
